tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00096	6541	0.03033919718289075	0.03311742798118795	0.023756449504738868	0.025960404937074067	0.7578888614056056	0.8736442825367401
nat	PF00096	4386	0.029166670979212054	0.05648278334478601	0.022898042305130498	0.03415245090096812	0.30434364846841033	0.6997523306973941
nat	PF00096	4327	0.029994369010553478	0.04382183330598331	0.023619663508224607	0.02891031994168536	0.5414522019662233	0.7806349226308749
nat	PF00096	6972	0.02971190237324249	0.03555202182103311	0.023248872213229133	0.027031735404339785	0.7451607313538667	0.8666529896783853
nat	PF00096	941	0.02959983786615213	0.0334318342204905	0.023255963641256882	0.026599136483982783	0.7489633885952963	0.8760589101256291
nat	PF00096	2014	0.029574718055219072	0.03351933273384192	0.02322813087493985	0.026128722259107492	0.7768368534476404	0.8825983531239725
nat	PF00096	8582	0.02984157646553839	0.0549578484186962	0.023411959319511462	0.03298700439732	0.3755082716557142	0.6835997426492517
nat	PF00153	859	0.021900699590115032	0.02672336716884863	0.017319653278128525	0.020666498771837412	0.747710946582842	0.877328984889048
nat	PF00153	7733	0.022612989094512658	0.023058137770461198	0.017885849793350065	0.018428762662455335	0.8568067926104109	0.9270624028981506
nat	PF00153	891	0.021407544439023016	0.027859829304108047	0.01696761544996377	0.02019361821431775	0.7415752711118198	0.8731449790592986
nat	PF00153	6541	0.021927574043640534	0.02658126649260639	0.017313609521975904	0.020417838243050514	0.7881146692752794	0.9094038362056847
nat	PF00153	4386	0.020971419540161632	0.029010832979671716	0.016583437598250244	0.021786753836537533	0.7301745795279164	0.8574121411091862
nat	PF00153	4327	0.021554035676543876	0.026205270191854188	0.017129234788532916	0.019676664337464497	0.759055955949105	0.8828983619188311
nat	PF00153	6972	0.021804807755298007	0.025974975818813466	0.017179968197831574	0.01962549081369067	0.8417863902353027	0.9200556506854122
nat	PF00153	941	0.02157772125774594	0.026738511142107717	0.016994934707884837	0.01999881451716783	0.8092749849865486	0.903354325317679
nat	PF00153	2014	0.021646347873485544	0.026620263395630363	0.01712005576996526	0.021127806536385848	0.7906257273151229	0.8931348056017889
nat	PF00153	8582	0.02219588331426136	0.025876958425984833	0.017637685754543646	0.02008759397634694	0.7857907096291044	0.886942834153943
nat	PF00271	859	0.02810757793063262	0.03889890920373398	0.021962030987714334	0.026215850745929793	0.7899204608768733	0.8948543791628372
nat	PF00271	7733	0.02913025786849839	0.03328488891903784	0.022794785762094222	0.024131908528800667	0.8386523752786664	0.9168856953409861
nat	PF00271	891	0.029275374829773756	0.028967272559207165	0.022847712999384897	0.022623204478635448	0.871214336140539	0.9334187298689615
nat	PF00271	6541	0.028668280554366973	0.03172098145401369	0.022401177895013096	0.02386049487874293	0.853275752079451	0.9260568368969023
nat	PF00271	4386	0.029115559091010417	0.03167934216235339	0.02278580049917691	0.023544650819725937	0.8427710169389308	0.919821889839687
nat	PF00271	4327	0.028701466125231508	0.031091688982738962	0.022357319702165857	0.024312241698340183	0.8734993419049308	0.9361994465657162
nat	PF00271	6972	0.028899083989741503	0.03038047697181401	0.022602922240572105	0.023602534924837822	0.8632512993103063	0.9291670869644064
nat	PF00271	941	0.028413866648006447	0.034997797721011706	0.022238388579872568	0.02509346312879918	0.8363923478517665	0.9164138532870532
nat	PF00271	2014	0.029127729585420304	0.029622051162351764	0.02272258637770566	0.023124686186644754	0.8748707881259723	0.9360377823142476
nat	PF00271	8582	0.028618743663657974	0.030580334840058492	0.022430654368718838	0.023628910256104217	0.8622721812603804	0.9296217617773144
nat	PF00397	859	0.04085581725591064	0.04868638399419883	0.03225679262696111	0.03639660673123798	0.6994140708505504	0.8417506190145887
nat	PF00397	7733	0.04116133707565726	0.04939270942147167	0.03249431731762921	0.03630175028549113	0.6967939735071237	0.8443436519526868
nat	PF00397	891	0.04249110466261858	0.042048115805663554	0.033550728874945895	0.03293855608899651	0.7685159523363854	0.8767069318666617
nat	PF00397	6541	0.04182481516333182	0.04290320995185531	0.032966459467564005	0.03362933327462919	0.7682181870646132	0.8783338674236482
nat	PF00397	4386	0.04175658019358235	0.04727557329226508	0.03295998203937445	0.03524717915589432	0.7151239813288406	0.8497476125280744
nat	PF00397	4327	0.04213295727759528	0.041911326838951914	0.03328184253980218	0.0329923627275409	0.7719670140534237	0.8806683802867553
nat	PF00397	6972	0.04229275749365857	0.04205046045712617	0.03333810005141887	0.033229061313544084	0.7537507094259709	0.8684107577041645
nat	PF00397	941	0.04117096290280216	0.049998819147260315	0.03251261260423573	0.036074407707817537	0.683132444218337	0.8380246705776803
nat	PF00397	2014	0.04215103633571726	0.041515219386040476	0.03321325879322431	0.03290393378375121	0.7773528678695464	0.8829604682436774
nat	PF00397	8582	0.042099870258725504	0.042733891831547965	0.03322198829403277	0.03365457542985168	0.7559561620917932	0.8699021765605286
nat	PF00512	859	0.03100416644870635	0.039047179478561525	0.024297058671606055	0.028066853870331716	0.6784034712854692	0.8288301977431207
nat	PF00512	7733	0.032384822498662896	0.03497959930405224	0.025248447333113294	0.026709731076491283	0.7850578174990896	0.8957591852661428
nat	PF00512	891	0.03186667901371485	0.034376985530303245	0.024970862164095983	0.026704703952501137	0.7754571250896672	0.8823544383283444
nat	PF00512	6541	0.03140748413962721	0.034988386059596206	0.02464982120570604	0.027193840016990455	0.7751940196159564	0.8805306577322582
nat	PF00512	4386	0.03164195647863162	0.037624107999476235	0.024819378579813783	0.02671898907528694	0.7632794979566697	0.8836303168341411
nat	PF00512	4327	0.03142290147032314	0.034533077035183456	0.02476857016467169	0.025871624506830584	0.7738584657828507	0.8821648695159315
nat	PF00512	6972	0.031790131448155165	0.03433402908425875	0.024893658365600688	0.026488981899167693	0.771455964550502	0.8814060871432445
nat	PF00512	941	0.03162413108801495	0.03587306509437796	0.02481019225632618	0.027099538832912287	0.7832892570370136	0.890379536405776
nat	PF00512	2014	0.031669631256894835	0.03525597657471289	0.024771748552551823	0.027191118733576793	0.8138406659169566	0.902606269949188
nat	PF00512	8582	0.03133273383971825	0.03546742324858529	0.024492174264505704	0.027211711075449566	0.7951524695905932	0.8938282577638771
nat	PF00595	859	0.014092698286642856	0.05064393241063027	0.011162350453095802	0.03577867360925519	0.5534634674960183	0.8994955541402216
nat	PF00595	7733	0.016372463824819633	0.032208364534234535	0.013026879112746644	0.024996159393775284	0.8181491302976143	0.9052100184633161
nat	PF00595	891	0.01654007292600254	0.06153982141624491	0.01332994747623592	0.033787278694025556	0.5193361518381107	0.8667160062502355
nat	PF00595	6541	0.014685726437500301	0.06466602273151853	0.011687024888464789	0.03737660839515687	0.6150684452163468	0.8108393604518522
nat	PF00595	4386	0.0179333513807705	0.02800429325548924	0.014288180311610289	0.021219830433044942	0.9119117411966118	0.9572009516901753
nat	PF00595	4327	0.015672855638888844	0.045823250416110885	0.01248786013122521	0.036012727121652335	0.7078723704215948	0.8945430954997603
nat	PF00595	6972	0.016043152300872356	0.04219571330543462	0.01296408172266972	0.032518595252102614	0.8092368705492274	0.9223881785694262
nat	PF00595	941	0.01586890448035017	0.05547937256666859	0.012339942266355807	0.034570276092695806	0.5558608568745109	0.8969063433420257
nat	PF00595	2014	0.016835371877478064	0.055426218825067826	0.013456951702780608	0.03639841633804887	0.5978080653967871	0.8594253420519161
nat	PF00595	8582	0.017316401483155126	0.042045387594172874	0.013934436544519941	0.028563451260131958	0.80996546086265	0.9553323783513628
nat	PF01535	859	0.040864117885786824	0.047702636655736194	0.03207994396159911	0.03484433638416487	0.6160225710999387	0.8018434469086537
nat	PF01535	7733	0.041444567872815745	0.046615327232947076	0.03252247014371905	0.03419292290975133	0.6450493716084498	0.8191703339510632
nat	PF01535	891	0.041501815044903086	0.04376587422320154	0.032520779556430846	0.03405007519092095	0.6736051021802256	0.8272345766346045
nat	PF01535	6541	0.04176988406492888	0.0430750412056477	0.03261973786849906	0.034012397119768875	0.6998417316272805	0.8371856286211147
nat	PF01535	4386	0.04096078805147953	0.04704845675759324	0.03212592281599201	0.035503071856442116	0.6276849105196327	0.8032509389320598
nat	PF01535	4327	0.041786285923587525	0.04267712281787065	0.03272820588375918	0.03343115973200092	0.6932983596980361	0.8327646813408477
nat	PF01535	6972	0.04166463836462729	0.043519410639913915	0.03262829319171987	0.03420799656329196	0.6680722680568467	0.820248285707406
nat	PF01535	941	0.04118582937973995	0.04771293896471331	0.032272943189442446	0.03516616353083452	0.6178699488679898	0.7996336918418735
nat	PF01535	2014	0.04176776948036726	0.04336400436171126	0.03264050439351716	0.03377812923581217	0.6841598838053073	0.8332880432650943
nat	PF01535	8582	0.041949170850393326	0.043072186049326756	0.032841005028785876	0.03363860181392277	0.6892853647332955	0.8304446588633287
nat	PF07679	859	0.012557780705194548	0.02703802527942754	0.009842406183122439	0.020767305180641463	0.8277012708684832	0.9098360984870393
nat	PF07679	7733	0.012346573053160653	0.03331532665654324	0.009650641688157185	0.02451673083115597	0.6636151098053007	0.8902310433302105
nat	PF07679	891	0.01235021742551189	0.0529251894091924	0.009617318810896548	0.033293388649156985	0.17080564730571157	0.8378224651109075
nat	PF07679	6541	0.012328344907732876	0.024861339875310726	0.009860131404184538	0.01898726785521272	0.8578541765679784	0.9346934068147367
nat	PF07679	4386	0.012165160769203504	0.021389384367184187	0.00963523501827598	0.01676215131965936	0.8706404322036534	0.9412772366081021
nat	PF07679	4327	0.012098224592096578	0.04500210998179149	0.009285215533264769	0.030787623809774834	0.23987071065801602	0.8523490747767022
nat	PF07679	6972	0.012452369493471758	0.02026517158051207	0.010068396993824408	0.015823383053205277	0.8861733268122506	0.9434634270356577
nat	PF07679	941	0.012491303025392872	0.029031844501134867	0.009751337312592617	0.02096842112129776	0.7633708082536864	0.8951052130440607
nat	PF07679	2014	0.013026894113553586	0.05380232026511595	0.010326120943368778	0.03459162345652555	0.07583754990798774	0.8613927183906084
