tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00271	6972	0.05764600167675304	0.06240878768522689	0.0449937234038146	0.04920076127901692	0.6844672745032411	0.8279234109209016
nat	PF00271	941	0.05731324933665724	0.06617966693429833	0.04493633317187171	0.050279583921496125	0.6498277596579212	0.8122615177739482
nat	PF00271	2014	0.05768911548219524	0.062912822436276	0.04475386956753627	0.04946814581454964	0.6584716065843176	0.8229527966507632
nat	PF00271	8582	0.05993039078021658	0.05669405910110793	0.04676413689131631	0.04417690520311805	0.7340065215616334	0.8573265949424644
nat	PF00397	859	0.1129808665721606	0.12514803284077894	0.090594317471824	0.10138326600057525	0.30284599657076317	0.5572113858004722
nat	PF00397	7733	0.11540535687296354	0.11887411532720911	0.09268744633965385	0.09634487611402476	0.357888118728217	0.6021128180356016
nat	PF00397	891	0.11468808938417963	0.1205352016661794	0.09194523626094586	0.09734613631754316	0.3074460352286098	0.5567922011328561
nat	PF00397	6541	0.11697208099195336	0.11373865350245761	0.09440895618793195	0.09183489744548541	0.41583205817469604	0.6459747895428329
nat	PF00397	4386	0.11377289380279236	0.12504963286434134	0.09169820098915864	0.0990190265674971	0.3325187101915681	0.5839471410839105
nat	PF00397	4327	0.1120958362160786	0.12523509617174217	0.08976342225231898	0.09974733426838392	0.2856828594596005	0.5538442133408029
nat	PF00397	6972	0.11252530112401937	0.12641101114833372	0.09069227627410367	0.10055936193795512	0.3182847925040112	0.5715199744635354
nat	PF00397	941	0.11534543884429961	0.11971980398908547	0.09262328136193952	0.0975666010049264	0.35413870165387107	0.5968362858854791
nat	PF00397	2014	0.11049074054565997	0.12978088574512975	0.08905644394287582	0.10288490941484471	0.30120308659645856	0.5681830533446002
nat	PF00397	8582	0.11419539211181126	0.12308676364105174	0.09195830403367243	0.10122657077737789	0.3310457503852815	0.5841371104632004
nat	PF00512	859	0.08268441212058619	0.09793846686998735	0.06551712700856907	0.07572950262954348	0.39099222033690206	0.6575681069389525
nat	PF00512	7733	0.08305057231442702	0.09051386038647309	0.06580736456010204	0.07269198255972674	0.522410229935297	0.776826797438531
nat	PF00512	891	0.08262579102831713	0.08681799549722356	0.06541070535209373	0.06803937963013967	0.6308817976636566	0.7944848342743313
nat	PF00512	6541	0.08343115178610527	0.08822844399072907	0.06588684439309227	0.0695010575665299	0.5124248841472789	0.7351826050795014
nat	PF00512	4386	0.08332886128733585	0.09340278676330092	0.06587707210316306	0.07234463200460609	0.514917047631611	0.7288720604726426
nat	PF00512	4327	0.08238827557234435	0.09015516630428204	0.06502179755606675	0.07118206815432915	0.5360944595419254	0.7485897062634022
nat	PF00512	6972	0.07695836031568803	0.1058919430396998	0.05951493287090354	0.08383647431153145	0.5150418178114804	0.7387475418564182
nat	PF00512	941	0.08158221633740584	0.09075952980698432	0.06446677052868503	0.0707674184269584	0.6161167565937569	0.7924885107244388
nat	PF00512	2014	0.08197520480025913	0.09288352795019808	0.0645655196628696	0.07188493186911002	0.5984711145726445	0.77539452657065
nat	PF00512	8582	0.0796720393294821	0.09327513984352853	0.06283260172542782	0.07325458735653309	0.6205772152878127	0.7889907205519586
nat	PF00595	859	0.035148564051762886	0.16111742352893305	0.027874595807955507	0.12900152377727797	0.03727532912226872	0.4723660353183756
nat	PF00595	7733	0.04561520665584611	0.13503879676095185	0.0366686017758231	0.10411967201644626	0.3439181707844715	0.6346909581455753
nat	PF00595	891	0.04414789655177407	0.13830152560021172	0.034691537322063475	0.10845313646994569	0.11252343777436946	0.5797422395647621
nat	PF00595	6541	0.04576538322928219	0.17358321267424642	0.03565577271709517	0.13370130142311318	0.008841662505987724	0.5063749148830328
nat	PF00595	4386	0.04700983266381458	0.1264813998566046	0.0383095018543266	0.0944573847341604	0.4371220588781255	0.6774850842173663
nat	PF00595	4327	0.04948466914054761	0.14510565034916872	0.03932518555270589	0.105697171007293	0.09651257278692504	0.7208263413267161
nat	PF00595	6972	0.043019758763642536	0.17346211919074728	0.03374404292579483	0.12270286114133681	0.10881635874053797	0.4170509761386444
nat	PF00595	941	0.04947482044271828	0.16235329673497628	0.03920505629736739	0.12860120016083237	-0.10593675387901413	0.6975498231422324
nat	PF00595	2014	0.0464390530750681	0.14822405953351442	0.036565028162020494	0.11329230235707928	0.30218850916531403	0.6369222564980885
nat	PF00595	8582	0.04508680185090736	0.12930387508043176	0.034828543199445096	0.10567671750820315	0.35679259104800876	0.6378900247190609
nat	PF01535	859	0.07874162373609969	0.09517428136935366	0.06205329779788122	0.07409144217467517	0.37113081775881995	0.6137576920685497
nat	PF01535	7733	0.08082232406135993	0.09289762570158512	0.06282923930293127	0.073846823926185	0.4085930836859153	0.6420418979510029
nat	PF01535	891	0.0836716306967286	0.08432089503716877	0.06524381848923677	0.06710401890783188	0.4189804969381725	0.6518617680550806
nat	PF01535	6541	0.07987561460163996	0.09514354943861955	0.06272339969333485	0.07466293014601477	0.23705304050523968	0.5410300964061211
nat	PF01535	4386	0.08129262809581578	0.09045564124673479	0.06323395743379803	0.07059877010021018	0.381301626288602	0.6305028497522924
nat	PF01535	4327	0.08289253581091433	0.08603280448836331	0.06543073623236242	0.06470163228070011	0.3757009403599251	0.6161727396110486
nat	PF01535	6972	0.07892947377027155	0.09435438677621566	0.06168436960107774	0.07314019779934573	0.3008258890160045	0.5732294503569464
nat	PF01535	941	0.08108019697938323	0.09052444205787308	0.06375291907799956	0.06948477278417865	0.29436608979956547	0.5810723374394715
nat	PF01535	2014	0.0794179319469356	0.09417326682864367	0.06260263261177029	0.07189357274154111	0.3549742925730538	0.5988362841162742
