tool	family	sim_ind	corrected_fd_corr	uncorrected_fd_corr
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	1	0.5641537493182693	0.7373171646854247
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	2	0.6926323169223464	0.8122249326769321
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	10	0.6585870662415503	0.7871000940327668
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	8	0.5855164082294583	0.7543081103641878
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	4	0.6178093899755799	0.7774481846088174
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	3	0.5749344409656705	0.7516980991422225
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	9	0.6105763780111348	0.7561724391432686
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	7	0.6802870961024277	0.8092271263083278
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	5	0.5617900005947798	0.7332369697499409
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	6	0.5979385110408695	0.7497450038891229
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	1	0.49879069102482876	0.688345391657692
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	2	0.6439110086321034	0.783724412695675
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	10	0.5909608194995399	0.7524710860326296
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	8	0.5697381237429366	0.7415649892182749
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	4	0.6090454737827979	0.7660964240777384
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	3	0.6851184695318723	0.8030802661272238
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	9	0.6903910016517862	0.8097935597382879
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	7	0.663266122003902	0.7915333225228796
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	5	0.6388874165236471	0.7785423827375935
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	6	0.5760470543739897	0.7375326384558918
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF13354	1	0.5641537493182693	0.7373171646854247
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	3	0.25506075386736715	0.411069723010296
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	4	0.18591180096215676	0.36116663502644253
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	9	0.30378794726837566	0.42260419509795644
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	10	0.3204698500572044	0.43973615701836755
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	2	0.16967919009767957	0.29351476657302256
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	5	0.12248281956308649	0.24449284215901043
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	1	0.5002849439202799	0.5997356955406369
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	8	0.19103842135612403	0.34323991762172035
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	7	0.46824412773011737	0.598480908766827
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	6	0.4652585461321362	0.5021697794622788
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	3	0.15845432037172624	0.2811354188419112
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	4	0.3867257011689007	0.461493464353545
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	9	0.19905406021050923	0.3203258948965817
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	10	0.049298477223176915	0.14345043475090963
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	2	0.12778639406817557	0.2576592372315896
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	5	-0.1291203304167622	-0.012411056121977543
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	1	0.33329542690459013	0.38959360168613205
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	8	0.19638707067219588	0.26331183180677875
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	7	0.353818801958271	0.48201032195202187
MSA-1b-logitsprop-static-100-init-seq-0	PF00595	6	0.33429160234556315	0.39987247040646035
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	3	0.5935974477414417	0.7470493728709048
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	4	0.6105240128056124	0.7597273648844975
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	9	0.6256383441962994	0.7633459936683409
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	10	0.5428579044409789	0.7233657046065376
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	2	0.5200298954087039	0.692532191793368
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	5	0.5605713563265105	0.7202741498149405
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	1	0.6194959872053887	0.7609171876853844
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	8	0.5845376170864741	0.7359385286655117
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	7	0.5741613222002662	0.732193310183082
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	6	0.6201870167957995	0.7586583700521703
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	3	0.15845432037172624	0.2811354188419112
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	4	0.3867257011689007	0.461493464353545
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	9	0.19905406021050923	0.3203258948965817
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	10	0.049298477223176915	0.14345043475090963
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	2	0.12778639406817557	0.2576592372315896
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	5	-0.1291203304167622	-0.012411056121977543
